Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Cross and Burn,Val McDermid,eBook,,$11.99,1405523123,,"Little, Brown Book Group",448
book not found,,,,,,,,
How to Be an Adult in Relationships,David Richo,eBook,,$29.99,0834821036,,Shambhala,240
book not found,,,,,,,,
Lustrum,Robert Harris,eBook,,$15.99,1409021319,,Random House,464
What's Tha Up To?,Martyn Johnson,eBook,,$12.99,0748129022,,"Little, Brown Book Group",192
Me Before You,Jojo Moyes,eBook,,$15.99,0141969180,,Penguin Books Ltd,528
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,eBook,,$11.99,0748110615,,"Little, Brown Book Group",256
book not found,,,,,,,,
The Magic of Thinking Big,David J Schwartz,eBook,,,0698198581,,,256
Princeps' Fury,Jim Butcher,eBook,,$11.99,074811288X,,"Little, Brown Book Group",512
book not found,,,,,,,,
The Final Day,Dr William R Forstchen,Hardcover,,,0765376733,,FORGE,352
Inception,Bianca Scardoni,eBook,,,0994865139,,,394
The Great Gatsby,F. Scott Fitzgerald,Paperback,,$12.17,0743273567,,SCRIBNER BOOKS CO,180
book not found,,,,,,,,
Barbarians at the Gate,Bryan Burrough,eBook,,$6.99,0061804037,,HarperCollins,624
Bones to Ashes,Kathy Reichs,eBook,,$15.99,1407070045,,Random House,464
The Giver,Lois Lowry,eBook,,$5.99,0547345909,,HarperCollins,192
book not found,,,,,,,,
Play of Death,Oliver Potzsch,Paperback,,,132866208X,,Houghton Mifflin,493
Bad Behavior,Mary Gaitskill,eBook,,$15.99,0241383110,,Penguin Books Ltd,208
4th of July,James Patterson,Paperback,,$40.25,0446179663,,GRAND CENTRAL PUBL,400
Summernight,Sarah K. L. Wilson,eBook,,,1393267440,,?Sarah K. L. Wilson,
book not found,,,,,,,,
Air Bound,Christine Feehan,eBook,,$7.99,034940187X,,"Little, Brown Book Group",400
book not found,,,,,,,,
The Man Who Saw Everything,Deborah Levy,eBook,,$15.99,0241977614,,Penguin Books Ltd,208
book not found,,,,,,,,
book not found,,,,,,,,
The Misfit,Rosie Goodwin,eBook,,$11.99,0755385748,,Headline,313
The Bride,Julie Garwood,eBook,$17.14,$63.99,1101533110,,Penguin Publishing Group,1
book not found,,,,,,,,
Demon's Dance,Keri Arthur,eBook,,$15.99,0648324656,,KA Publishing PTY LTD,
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
Cold Days,Jim Butcher,Paperback,,$30.99,0356500950,,Little Brown,646
Shutter Island,Dennis Lehane,eBook,,$35.99,0748124802,,"Little, Brown Book Group",304
Whatever It Takes,Adele Parks,eBook,,$12.99,0755371364,,Headline,377
book not found,,,,,,,,
The Ship,C.S. Forester,eBook,,$15.99,0141959231,,Penguin Books Ltd,256
Silent Scream (The Minneapolis Series Book 2),Karen Rose,eBook,,$11.99,075537326X,,Headline,544
book not found,,,,,,,,
book not found,,,,,,,,
The Book of Life,Deborah Harkness,eBook,,$12.99,0755384806,,Headline,592
Dark Watch,Clive Cussler,eBook,,$14.99,1405909919,,Penguin Books Ltd,496
book not found,,,,,,,,
Keep Your Brain Alive,Lawrence Katz,Paperback,,$19.99,0761168931,,Workman,204
Silver in the Wood,Emily Tesh,eBook,$6.22,$5.99,1250229782,,Tor Publishing Group,
book not found,,,,,,,,
Uprooted,Naomi Novik,eBook,,,0804179042,,Random House Publishing Group,
A Short History of Brexit,Kevin O'Rourke,eBook,,$15.99,0241398339,,Penguin Books Ltd,320
Wedding Tiers,Trisha Ashley,eBook,,$8.99,0007329059,,HarperCollins Publishers,416
Absolute Friends,John le Carr�,eBook,,$15.99,0241321948,,Penguin Books Ltd,464
Blood of Elves,Andrzej Sapkowski,eBook,,$12.99,0575087498,,Orion,320
book not found,,,,,,,,
book not found,,,,,,,,
A Dark-Adapted Eye,Barbara Vine,eBook,,$15.99,0141938269,,Penguin Books Ltd,304
The Collector,John Fowles,eBook,,,0316230200,,"Little, Brown and Company",320
book not found,,,,,,,,
book not found,,,,,,,,
Ambush,Geraint Jones,eBook,,$15.99,140594403X,,Penguin Books Ltd,400
book not found,,,,,,,,
Never Somewhere Else,Alex Gray,eBook,,$12.99,0751555754,,"Little, Brown Book Group",320
Sins of Empire,Brian McClellan,eBook,,$12.99,0356509303,,"Little, Brown Book Group",640
book not found,,,,,,,,
book not found,,,,,,,,
Dreamer,Peter James,Paperback,,$11.99,0752876783,,Orion,384
The Goodnight Train,June Sobel,eBook,,$11.99,0547769334,,HarperCollins,32
Bullied,Vera Hollins,eBook,,$4.29,1393148549,,?Vera Hollins,
Survivor,Lesley Pearse,eBook,,$15.99,0241961548,,Penguin Books Ltd,544
book not found,,,,,,,,
book not found,,,,,,,,
Surface Detail,Iain M Banks,Paperback,$22.99,$12.99,1841498955,,Little Brown,640
Lessons in Stoicism,John Sellars,eBook,,$14.99,0241382920,,Penguin Books Ltd,96
book not found,,,,,,,,
The Little Book of Hygge,Meik Wiking,eBook,,$15.99,0241283930,,Penguin Books Ltd,288
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
Abaddon's Gate,James S. A. Corey,eBook,,$12.99,0748122982,,"Little, Brown Book Group",560
The Girl You Left Behind,Jojo Moyes,eBook,,$15.99,0141969199,,Penguin Books Ltd,544
book not found,,,,,,,,
The Volunteer,Jack Fairweather,eBook,,$18.99,0753545195,,Ebury Publishing,528
book not found,,,,,,,,
book not found,,,,,,,,
Heir to the Empire,Timothy Zahn,eBook,,$6.26,0307796108,,Random House Worlds,
Katy,Jacqueline Wilson,eBook,,$9.99,014135397X,,Penguin Random House Children's UK,320
book not found,,,,,,,,
False God of Rome,Robert Fabbri,eBook,$7.49,$6.99,0857899767,,Corvus,300
book not found,,,,,,,,
Splash and Bubbles,The Jim Henson Company,eBook,,,1328561771,,HarperCollins,
The Spy Who Came in from the Cold,John le Carr�,eBook,,$15.99,014196362X,,Penguin Books Ltd,272
book not found,,,,,,,,
The Blank Slate,Steven Pinker,eBook,,$18.99,0141925914,,Penguin Books Ltd,528
book not found,,,,,,,,
Billion Dollar Whale,Tom Wright,eBook,,$47.99,0316436488,,Hachette Books,400
book not found,,,,,,,,
The Secret Diaries Of Miss Anne Lister: Vol. 1,Anne Lister,eBook,,$12.99,074812571X,,"Little, Brown Book Group",384
The Pragmatic Programmer,Andrew Hunt,eBook,,,0132100673,,,352
The Value of Everything,Mariana Mazzucato,eBook,,$44.99,0241188822,,Penguin Books Ltd,256
Endgame,Chloe Walsh,eBook,,$7.59,1370239297,,Chloe Walsh,
book not found,,,,,,,,
Auschwitz Escape,Danny Naten,eBook,,$4.18,1301652814,,Danny Naten,
Reinvention,Brian Tracy,eBook,,$2.99,0814413471,,AMACOM,224
The Chaperone,Laura Moriarty,eBook,,$21.75,110158565X,,,384
book not found,,,,,,,,
book not found,,,,,,,,
The Art of Seduction,Robert Greene,eBook,,$22.99,110117529X,,Penguin Publishing Group,
Little Blue Truck's Christmas,Alice Schertle,eBook,,$10.99,0544553721,,HarperCollins,
Child of the Phoenix,Barbara Erskine,eBook,,$10.99,0007320930,,HarperCollins Publishers,944
Surrender Experiment,Michael A Singer,eBook,,,0804141118,,Potter/Tenspeed/Harmony,
book not found,,,,,,,,
Night Shift,Stephen King,eBook,$16.12,$12.99,0385528841,,Knopf Doubleday Publishing Group,
The Naked Warrior,Pavel Tsatsouline,eBook,$14.66,$13.99,0938045873,,Dragon Door Publications,218
book not found,,,,,,,,
book not found,,,,,,,,
The Robots of Dawn,Isaac Asimov,eBook,,$0.00,0307490246,,Random House Publishing Group,
The Fully Raw Diet,Kristina Carrillo-Bucaram,eBook,,$34.99,0544562364,,HarperCollins,272
Eat to Live,Joel Fuhrman,eBook,,$16.99,0316183202,,"Little, Brown and Company",400
State of the Union,Nick Hornby,eBook,,$15.99,0241987806,,Penguin Books Ltd,140
The Far Pavilions,M M Kaye,eBook,,$14.99,0141927135,,Penguin Books Ltd,960
The Blood Crows,Simon Scarrow,eBook,,$11.99,0755357221,,Headline,448
The Tibetan Book of the Dead,Karma-glin-pa (Karma Lingpa),eBook,,$4.39,0943217121,,Summum,
book not found,,,,,,,,
The Pickwick Club,Charles Dickens,eBook,,,130437808X,,,
The Curry Secret,Kris Dhillon,eBook,,$6.99,0716022524,,"Little, Brown Book Group",160
Trust No One,Anthony Mosawi,eBook,,$15.99,0718186397,,Penguin Books Ltd,400
book not found,,,,,,,,
book not found,,,,,,,,
A Liverpool Legacy,Anne Baker,eBook,,$11.99,0755399617,,Headline,384
book not found,,,,,,,,
East of Eden,John Steinbeck,Paperback,$22.99,$15.99,0141185074,,Penguin UK,640
Black Notice,Patricia Cornwell,eBook,,$11.99,0748109250,,"Little, Brown Book Group",480
A Grave Matter,Anna Lee Huber,eBook,$13.70,$11.99,069814032X,,Penguin Publishing Group,1
Value Proposition Design,,eText,,$41.79,1118968077,,Wiley Professional Development (P&T),
book not found,,,,,,,,
The Ancient Secret of the Fountain of Youth,Peter Kelder,eBook,,$18.99,0753546418,,Ebury Publishing,128
There There,Tommy Orange,Hardcover,,$63.75,0525520376,,KNOPF,304
The Grey Ghost,Clive Cussler,eBook,,$15.99,1405937084,,Penguin Books Ltd,400
Deep Black,Andy McNab,eBook,,$15.99,1407039202,,Transworld,512
book not found,,,,,,,,
No Way Out,Cara Hunter,eBook,,$15.99,0241283523,,Penguin Books Ltd,384
book not found,,,,,,,,
Atelier Crenn,Dominique Crenn,eBook,$72.59,$58.99,054444468X,,Houghton Mifflin Harcourt,376
Gallows View,Peter Robinson,eBook,,,033051475X,,,
book not found,,,,,,,,
From The Dead,Mark Billingham,eBook,,$11.99,0748116397,,"Little, Brown Book Group",352
Ancillary Justice,Ann Leckie,eBook,,$12.99,1405525843,,"Little, Brown Book Group",432
book not found,,,,,,,,
Waylander,David Gemmell,eBook,,$11.99,1405512008,,"Little, Brown Book Group",384
Marx and Marxism,Gregory Claeys,eBook,,$14.99,0141983493,,Penguin Books Ltd,256
Black Diamonds,Catherine Bailey,eBook,,$15.99,0141906006,,Penguin Books Ltd,544
Frostheart,Jamie Littler,eBook,,$9.99,0241355249,,Penguin Random House Children's UK,209
book not found,,,,,,,,
Better Than Easy,Nick Alexander,eBook,,$5.99,0857896385,,Corvus,300
book not found,,,,,,,,
Who Moved My Cheese?,Spencer Johnson,Paperback,$19.99,$15.99,0091816971,,RANDOM HOUSE UK,96
book not found,,,,,,,,
Brave New World,Aldous Huxley,eBook,,$15.99,140702101X,,Random House,272
book not found,,,,,,,,
Over Hill and Dale,Gervase Phinn,eBook,,$15.99,0141956836,,Penguin Books Ltd,352
The One You Really Want,Jill Mansell,eBook,,$11.99,0755351983,,Headline,300
A Friend of the Family,Lisa Jewell,eBook,,$15.99,0141916230,,Penguin Books Ltd,432
State of the Union,Brad Thor,eBook,,$9.99,0743492625,,Atria Books,352
book not found,,,,,,,,
Skin Game,Jim Butcher,eBook,,$12.99,0748130829,,"Little, Brown Book Group",464
The Warehouse,Rob Hart,eBook,,$15.99,1473563747,,Transworld,368
The Missing Sister,Dinah Jefferies,eBook,,$15.99,0241985447,,Penguin Books Ltd,400
Be More Pirate,Sam Conniff Allende,eBook,,$15.99,0241981115,,Penguin Books Ltd,320
book not found,,,,,,,,
Spider-Man,Dan Slott,eBook,$21.99,$17.99,0785182977,,Marvel Entertainment,
Flowers For Algernon,Daniel Keyes,eBook,,$35.99,0575088494,,Orion,224
Endangered,C J Box,Paperback,,,0525542507,,G.P. Putnam's Sons,400
Mrs Frisby and the Rats of NIMH,Robert C. O'Brien,eBook,,$9.99,0141968583,,Penguin Random House Children's UK,256
First You Write a Sentence.,Joe Moran,eBook,,$15.99,0241978505,,Penguin Books Ltd,256
book not found,,,,,,,,
book not found,,,,,,,,
The Red Pyramid (The Kane Chronicles Book 1),Rick Riordan,eBook,,$12.99,0141331585,,Penguin Random House Children's UK,544
Sword of Destiny,Andrzej Sapkowski,eBook,,,0316389714,,Orbit,352
Battlefield of the Mind,Joyce Meyer,eBook,,$8.99,0446540420,,FaithWords,
The Little Coffee Shop of Kabul,Deborah Rodriguez,eBook,,,1405519231,,"Little, Brown Book Group",320
Mythos,Stephen Fry,eBook,,$15.99,1405934166,,Penguin Books Ltd,400

Captivate,Vanessa Van Edwards,eBook,,$15.99,0241981417,,Penguin Books Ltd,256
book not found,,,,,,,,
A Big Boy Did It and Ran Away,Christopher Brookmyre,Paperback,,$12.99,0349116849,,Little Brown,512
Crime and Punishment,Fyodor Dostoyevsky,eBook,,$10.99,0141908351,,Penguin Books Ltd,720
The Girl Who Fell From The Sky,Simon Mawer,eBook,,$11.99,0748128808,,"Little, Brown Book Group",320
4th of July,James Patterson,Paperback,$22.99,$35.99,0755349296,,Headline,448
Before the Rains,Dinah Jefferies,eBook,,$15.99,0241978823,,Penguin Books Ltd,400
Brideshead Revisited,Evelyn Waugh,eBook,,$15.99,014190318X,,Penguin Books Ltd,336
American Spring,Walter R. Borneman,eBook,,$47.99,0316221015,,"Little, Brown and Company",480
The Raven Tower,Ann Leckie,Hardcover,,$67.25,0316388696,,ORBIT,432
The New Annotated Frankenstein (The Annotated Books),Mary Shelley,eBook,$54.95,$43.99,087140950X,,Liveright,416
London Bridges,James Patterson,Paperback,$22.99,$8.99,0755349385,,Headline,448
The Mistake,Elle Kennedy,eBook,,,0994054416,,?Elle Kennedy Inc.,
The Court Of Owls,Scott Snyder,Hardcover,,,1401235417,,DC Comics,176
book not found,,,,,,,,
The 10x Rule,Grant Cardone,E-Book,,,1283052946,,Wiley,254
book not found,,,,,,,,
Buried,Mark Billingham,eBook,,$12.99,0748109293,,"Little, Brown Book Group",528
book not found,,,,,,,,
The Falcon of Sparta,Conn Iggulden,eBook,,$15.99,1405921528,,Penguin Books Ltd,480
The Life,Martina Cole,eBook,,$11.99,0755375602,,Headline,512
The Last of Days,Paul Doherty,eBook,,$11.99,075539786X,,Headline,219
Turtles All the Way Down,John Green,eBook,,$9.99,0241335442,,Penguin Random House Children's UK,336
Edgedancer,Brandon Sanderson,Hardcover,,$25.25,1250166543,,St Martin's Press,272
The Winter Crown,Elizabeth Chadwick,eBook,,$19.99,0748133917,,"Little, Brown Book Group",496
Out of the Dark,Gregg Hurwitz,eBook,,$15.99,1405928557,,Penguin Books Ltd,400
Guardians Of The Galaxy Vol. 1,Brian Michael Bendis,eBook,$16.12,$12.99,130201367X,,Marvel Entertainment,
The Fifth to Die,J D Barker,Hardcover,,,0544973976,,HOUGHTON MIFFLIN,544
Working with Emotional Intelligence,Daniel Goleman,eBook,$19.99,$17.99,1408806193,,Bloomsbury Publishing,394
Steve Jobs,Walter Isaacson,eBook,,$13.99,0748131329,,"Little, Brown Book Group",448
Artemis Fowl,Eoin Colfer,eBook,,$9.99,0141966645,,Penguin Random House Children's UK,320
A Month in the Country,Penelope Fitzgerald,eBook,,$15.99,0141905824,,Penguin Books Ltd,112
Marked,Benedict Jacka,eBook,,$11.99,035650722X,,"Little, Brown Book Group",384
Cattle Kingdom,Christopher Knowlton,eBook,$37.39,$29.99,0544369971,,HarperCollins,464
The Confession,John Grisham,eBook,,$17.99,1409021556,,Random House,464
A Prisoner of Birth,Jeffrey Archer,eBook,,,0230713742,,,400
book not found,,,,,,,,
The Deal,Elle Kennedy,eBook,,,0994054408,,?Elle Kennedy Inc.,
Maigret and the Wine Merchant,Georges Simenon,eBook,,$15.99,0241304296,,Penguin Books Ltd,160
Zero to One,Peter Thiel,Paperback,$24.99,$15.99,0753555204,,RANDOM HOUSE UK,224
Christmas at Rosie Hopkins' Sweetshop,Jenny Colgan,eBook,,$12.99,1405525673,,"Little, Brown Book Group",432
The Salt Path,Raynor Winn,eBook,,$14.99,1405937521,,Penguin Books Ltd,320
The Moon's a Balloon,David Niven,eBook,,$15.99,0141937343,,Penguin Books Ltd,336
"Where'd You Go, Bernadette",Maria Semple,eBook,,$11.99,0297867318,,Orion,304
The Diet Cure,Julia Ross,eBook,$18.85,$15.99,1101604042,,Penguin Publishing Group,
Glory in Death,J.D. Robb,Paperback,$22.99,$11.99,0749954213,,Little Brown,416
Anything You Do Say,Gillian McAllister,eBook,,$15.99,140592828X,,Penguin Books Ltd,400
Willpower,Roy F. Baumeister,eBook,,$21.75,1101543779,,,304
The Year Of The Flood,Margaret Atwood,eBook,,$12.99,0748113371,,"Little, Brown Book Group",432
The Secret Pilgrim,John le Carr�,eBook,,$15.99,0141967447,,Penguin Books Ltd,416
Queen Camilla,Sue Townsend,eBook,,$15.99,0141900830,,Penguin Books Ltd,464
Big Frank's Fire Truck,Leslie McGuire,eBook,$8.79,$7.99,0307982777,,Random House Children's Books,
book not found,,,,,,,,
Secrets Of The Baby Whisperer,Tracy Hogg,eBook,,$19.99,1407024779,,Ebury Publishing,304
Dark Lover,J. R. Ward,eBook,,$11.99,0748129081,,"Little, Brown Book Group",480
X-Men,Chris Claremont,eBook,$19.06,$15.99,0785178260,,Marvel Entertainment,
The Big Sleep,Raymond Chandler,eBook,,$14.99,0141911115,,Penguin Books Ltd,224
Darien,C. F. Iggulden,eBook,,$15.99,0718186494,,Penguin Books Ltd,352
The Help,Kathryn Stockett,eBook,,$15.99,0141930012,,Penguin Books Ltd,464
Violets are Blue,James Patterson,eBook,,$12.99,075538735X,,Headline,335
Star Trek,Vonda N. McIntyre,eBook,,$23.99,0743499964,,Pocket Books/Star Trek,464
The Last Astronaut,David Wellington,eBook,,$12.99,0356512282,,"Little, Brown Book Group",384
Bulfinch's Medieval Mythology,Thomas Bulfinch,1,,,1306358426,,DOVER PUBLICATIONS,
Missing Me,Sophie McKenzie,eBook,,$10.99,0857077295,,Simon & Schuster UK,304
East of Eden,David Wyatt,eBook,,$15.99,0141923504,,Penguin Books Ltd,640
Emotional Agility,Susan David,eBook,,$15.99,024197657X,,Penguin Books Ltd,272
Exit Strategy,Martha Wells,eBook,$20.53,$16.99,1250185467,,Tor Publishing Group,
Privateer's Revenge,Julian Stockwin,eBook,,,1306072468,,McBooks Press,325
The Island,Victoria Hislop,eBook,,$11.99,0755352440,,Headline,300
Naked Statistics,Charles Wheelan,Paperback,$29.95,$36.25,039334777X,,W W Norton & Company,304
book not found,,,,,,,,
book not found,,,,,,,,
Enneagram Transformations,Don Richard Riso,Paperback,,$19.99,0395657865,,HarperCollins Publishers,144
An Offer You Can't Refuse,Jill Mansell,eBook,,$12.99,0755352017,,Headline,300
Dark Force Rising,Timothy Zahn,eBook,,$9.12,0307796183,,Random House Worlds,
Mist's Edge,T.A. White,eBook,,$35.99,1370483058,,T.A. White,
The 7 Second CV,James Reed,eBook,,$15.99,0753553082,,Ebury Publishing,208
book not found,,,,,,,,
Sharp Objects,Gillian Flynn,eBook,,$11.99,0297860240,,Orion,336
book not found,,,,,,,,
The Hairy Bikers' Big Book of Baking,Hairy Bikers,eBook,,$19.99,0297868381,,Orion,224
Spanish for Geniuses,Andromeda Jones,eBook,,$0.00,1370211678,,Andromeda Jones,
Dark Places,Gillian Flynn,eBook,$12.99,$11.99,0297855875,,Orion,368
The Outcast Dead,Elly Griffiths,eBook,,$11.99,0857388924,,Quercus,400
A Tale of Two Cities,Charles Dickens,eBook,,,1105795985,,,
5 Ingredients - Quick & Easy Food,Jamie Oliver,eBook,,$19.99,1405935618,,Penguin Books Ltd,288
"Once, Twice, Three Times an Aisling",Emer McLysaght,eBook,,$15.99,1405938250,,Penguin Books Ltd,416
Revenge of the Middle-Aged Woman,Elizabeth Buchan,eBook,,$15.99,0141924438,,Penguin Books Ltd,384
This Charming Man,Marian Keyes,eBook,,$15.99,0141909773,,Penguin Books Ltd,912
As I Walked Out One Midsummer Morning,Laurie Lee,eBook,,$14.99,0141397039,,Penguin Books Ltd,224
book not found,,,,,,,,
Kingdom of Fear,Hunter S Thompson,eBook,,$15.99,0241958733,,Penguin Books Ltd,384
The Other Daughter,Lisa Gardner,Paperback,$24.99,$11.99,0755396510,,Headline,416
Letters from a Stoic,Seneca,eBook,,$10.99,0141914521,,Penguin Books Ltd,256
The Way Of Shadows,Brent Weeks,eBook,,$11.99,0748112588,,"Little, Brown Book Group",688
Seeing Behind the Veil,Ana Werner,Paperback,,$20.99,0768442834,,DESTINY IMAGE INC,240
book not found,,,,,,,,
The Republic of Thieves,Scott Lynch,eBook,,$12.99,0575088230,,Orion,880
The Sixth Extinction,Elizabeth Kolbert,eBook,$15.99,$13.99,1408851237,,Bloomsbury Publishing,336
Four Blind Mice,James Patterson,eBook,,$12.99,0755387147,,Headline,330
Wanderers,Chuck Wendig,eBook,$23.99,$19.99,039918211X,,Random House Worlds,
New York 2140,Kim Stanley Robinson,eBook,,,0316262331,,Orbit,480
"Life, the Universe and Everything",Douglas Adams,eBook,,,0330513141,,,
Rage,Wilbur Smith,eBook,,,0330473034,,,
The Templar's Code,Chloe M. Palov,eBook,,$15.99,0141960655,,Penguin Books Ltd,528
A Lion Among Men,Gregory Maguire,eBook,,$10.99,0061981745,,HarperCollins,400
Peace Comes to Honeyfield,Anna Jacobs,Paperback,,$29.40,0749020555,,Faber Factory,352
The Secret History,Donna Tartt,eBook,,$24.99,1405529636,,"Little, Brown Book Group",544
Glory in Death,J.D. Robb,eBook,,$11.99,0748121765,,"Little, Brown Book Group",336
Vile Bodies,Evelyn Waugh,eBook,,$15.99,0141190698,,Penguin Books Ltd,256
Anatomy Of The Spirit,Caroline Myss,eBook,,,1407056980,,Random House,320
The Infinite Game,Simon Sinek,eBook,,$22.99,0241979722,,Penguin Books Ltd,256
The Humans,Matt Haig,eBook,$21.08,$16.99,0857868772,,Canongate Books,304
Close Call,Stella Rimington,eBook,$17.58,$14.99,1408841061,,Bloomsbury Publishing,352
Spider-Man,Todd McFarlane,Paperback,,,078516006X,,Marvel Comics,192
Furious,T.R. Ragan,eBook,,,1365014924,,,
Shadow Hunter,Geoffrey Archer,eBook,,$15.99,144815152X,,Random House,320
The Jeeves Omnibus - Vol 1,P G Wodehouse,eBook,,$17.99,1407070711,,Random House,592
Kill Your Friends,John Niven,eBook,,$17.99,1407010956,,Random House,336
The Girl Who Takes an Eye for an Eye,David Lagercrantz,eBook,,,0857056441,,Quercus,448
Tripwire,Lee Child,eBook,,$16.99,1407070215,,Transworld,560
book not found,,,,,,,,
book not found,,,,,,,,
Glow,W. H. Beck,eBook,,$11.99,0544759214,,HarperCollins,32
Regeneration,Pat Barker,eBook,,$15.99,014190643X,,Penguin Books Ltd,256
Beethoven,Jan Swafford,eBook,,$45.80,054424558X,,,994
The Devil's Alternative,Frederick Forsyth,eBook,,$15.99,1407096184,,Random House,496
The Gladiator (Eagles of the Empire 9),Simon Scarrow,eBook,,$12.99,0755353455,,Headline,320
Friends In High Places,Donna Leon,eBook,,$15.99,1407070541,,Random House,336
Cinderella Sister,Dilly Court,eBook,,$15.99,1407071874,,Random House,512
The Leopard,Jo Nesbo,eBook,,$15.99,1407086073,,Random House,752
Magnus Chase and the Ship of the Dead (Book 3),Rick Riordan,eBook,,$9.99,0141342617,,Penguin Random House Children's UK,528
A Christmas Carol,Charles Dickens,eBook,$8.55,$7.99,0553897055,,Random House Publishing Group,
The Winter King,Bernard Cornwell,eBook,,$26.99,0141952121,,Penguin Books Ltd,512
Grand Union,Zadie Smith,eBook,,$15.99,0241983134,,Penguin Books Ltd,304
The Whisper Man,Alex North,eBook,,$15.99,1405936010,,Penguin Books Ltd,400
"Mary, Mary",James Patterson,eBook,,$12.99,0755387198,,Headline,327
Someone to Trust,Mary Balogh,Paperback,$22.99,$36.99,0349419221,,Little Brown,400
Nineteen Eighty-Four,George Orwell,eBook,,$10.99,0141919957,,Penguin Books Ltd,400
The House on the Strand,Daphne du Maurier,eBook,,,0316252999,,"Little, Brown and Company",352
Blink,Malcolm Gladwell,eBook,,$15.99,0141930187,,Penguin Books Ltd,304
book not found,,,,,,,,
The Orphan's Tales,Catherynne Valente,eBook,$10.27,$9.99,0553903101,,Random House Worlds,
The Testing Guide,Joelle Charbonneau,eBook,,$4.99,0544084780,,HarperCollins,
The Beautiful Summer,Cesare Pavese,eBook,,$15.99,0241983401,,Penguin Books Ltd,112
Split Second,David Baldacci,Paperback,$19.99,$12.99,1529003318,,Pan Macmillan UK,608
Best ever recipes,Slimming World,eBook,,$21.99,1409003175,,Ebury Publishing,208
The Separation,Dinah Jefferies,eBook,,$15.99,024196606X,,Penguin Books Ltd,320
Orlando,Virginia Woolf,eBook,$13.74,$13.99,0857863436,,Canongate Books,192
Cage of Deceit,Jennifer Anne Davis,eBook,,$7.32,0998151645,,Reign Publishing,
Body Of Evidence,Patricia Cornwell,eBook,,$11.99,0748109277,,"Little, Brown Book Group",400
What Are You Looking At?,Will Gompertz,eBook,,$16.99,0670920509,,Penguin Books Ltd,464
Corridors Of Power,C.P. Snow,eBook,,,0755118391,,,368
book not found,,,,,,,,
How to be Both,Ali Smith,eBook,,$15.99,0241965616,,Penguin Books Ltd,320
The Wasp Factory,Iain Banks,eBook,,$11.99,0748109951,,"Little, Brown Book Group",256
Warbreaker,Brandon Sanderson,eBook,,$11.99,0575097477,,Orion,688
Ruth's First Christmas Tree,Elly Griffiths,eBook,,$4.99,0544147774,,HarperCollins,
Caesar,Adrian Goldsworthy,eBook,,$17.99,0297864009,,Orion,704
Kane and Abel,Jeffrey Archer,eBook,,,0330461931,,,200
Dune Messiah,Frank Herbert,eBook,,$24.99,0575104422,,Orion,416
Agent Running in the Field,John le Carr�,eBook,,$15.99,0241986559,,Penguin Books Ltd,272
I Looked Away,Jane Corry,eBook,,$15.99,0241984645,,Penguin Books Ltd,464
Exile,James Swallow,Paperback,$27.99,$27.75,1785760459,,Bonnier,576
The Moral Economists,Tim Rogan,eBook,$47.29,$37.99,1400888026,,Princeton University Press,280
Novacene,James Lovelock,eBook,,$22.99,0241399378,,Penguin Books Ltd,160
"Teddy Suhren, Ace of Aces",Teddy Shuren,E-Book,,,1306863422,,Frontline Books,249
Scoop,Evelyn Waugh,eBook,,$15.99,0141907177,,Penguin Books Ltd,240
The Darkness,Ragnar J�nasson,eBook,,$15.99,1405930810,,Penguin Books Ltd,400
Natural Causes,James Oswald,eBook,,$15.99,1405913150,,Penguin Books Ltd,400
"How to Care for Aging Parents, 3rd Edition",Virginia Morris,eBook,,$23.99,076117866X,,Workman Publishing Company,688
The Last Man,Vince Flynn,eBook,,$14.99,0857208756,,Simon & Schuster UK,448
The Moon is Down,Donald Coers,eBook,,$15.99,0141912553,,Penguin Books Ltd,144
New Joe Abercrombie Novel #1,Joe Abercrombie,Hardcover,,$55.75,031618716X,,ORBIT,480
Silence Of The Grave,Arnaldur Indridason,eBook,,$15.99,1407020951,,Random House,304
Heir to the Empire,Timothy Zahn,eBook,,$6.26,0307796108,,Random House Worlds,
X-Men,Chris Claremont,eBook,$24.93,$20.99,0785171452,,Marvel Entertainment,
Small Island,Andrea Levy,Paperback,$24.99,$44.99,075530750X,,Headline,560
Soul Music,Terry Pratchett,eBook,,$14.99,1407034936,,Transworld,432
2nd Chance,James Patterson,Paperback,$22.99,$35.99,075534927X,,Headline,432
book not found,,,,,,,,
Andrew Carnegie,David Nasaw,eBook,$25.70,$20.99,1101201797,,Penguin Publishing Group,896
The Good Liar,Nicholas Searle,eBook,,$15.99,0241973287,,Penguin Books Ltd,288
No Further Questions,Gillian McAllister,eBook,,$15.99,1405934670,,Penguin Books Ltd,400
Use of Weapons,Iain M. Banks,eBook,,$12.99,0748110089,,"Little, Brown Book Group",432
The Witches,Roald Dahl,eBook,,$9.99,0141930179,,Penguin Random House Children's UK,224
Dying to Be Me,Anita Moorjani,eBook,,$20.01,1401937527,,Hay House,191
The Betrayal,Helen Dunmore,eBook,,$15.99,0141946032,,Penguin Books Ltd,336
