Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Escaping Destiny,Amelia Hutchins,eBook,,$6.99,0991190920,,Amelia Hutchins,
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,eBook,,$12.99,0141967560,,Penguin Random House Children's UK,592
The Five Dysfunctions of a Team,Patrick M. Lencioni,eText,,$22.99,0470893869,,Wiley Professional Development (P&T),240
Christmas Bells,Jennifer Chiaverini,eBook,$18.85,$15.99,0698407091,,Penguin Publishing Group,
The 7 Habits Of Highly Effective Teenagers,Sean Covey,eBook,,$16.99,0857206478,,Simon & Schuster UK,288
Nineteen Eighty-Four,George Orwell,eBook,,$10.99,0141919957,,Penguin Books Ltd,400
The King's Men,Nora Sakavic,eBook,,$36.99,1310839697,,Nora Sakavic,
book not found,,,,,,,,
I'm a T. Rex!,Dennis R. Shealy,eBook,$8.79,$7.99,0307978885,,Random House Children's Books,
book not found,,,,,,,,
Dracula,Bram Stoker,eBook,,$1.45,0486114759,,Dover Publications,336
Lucy Sullivan is Getting Married,Marian Keyes,eBook,,$15.99,1405935162,,Penguin Books Ltd,672
The Beach,Alex Garland,eBook,,$19.99,0141941448,,Penguin Books Ltd,448
The Green Mile,Stephen King,eBook,,$13.99,0575087307,,Orion,448
Persuasion,Jane Austen,eBook,,$3.99,0553904566,,Random House Publishing Group,
The Crowded Grave,Martin Walker,eBook,,$11.99,0857389572,,Quercus,320
Eeny Meeny,M. J. Arlidge,eBook,,$15.99,1405914890,,Penguin Books Ltd,464
Tao Te Ching,Lao Tzu,eBook,,$10.99,014192232X,,Penguin Books Ltd,192
Bonk,Mary Roach,eBook,,,0393069214,,,336
The Cake Bible,Rose Levy Beranbaum,eBook,,$42.99,0544859561,,HarperCollins,560
Midnight in the Garden of Good and Evil,John Berendt,eBook,,$3.99,0307538370,,Knopf Doubleday Publishing Group,
A Liverpool Legacy,Anne Baker,Paperback,,$11.99,0755399609,,Headline,384
The Rainmaker,John Grisham,eBook,,$15.99,140705919X,,Random House,720
The Murder Room,P. D. James,eBook,$14.29,$39.99,0571247032,,Faber & Faber,320
Thor,Jason Aaron,eBook,$13.19,$10.99,1302013769,,Marvel Entertainment,
Fatal Cut,June Hampson,eBook,,$11.99,1409106969,,Orion,320
The Queen and I,Sue Townsend,eBook,,$15.99,0141938331,,Penguin Books Ltd,288
book not found,,,,,,,,
All the Bright Places,Jennifer Niven,eBook,,$12.99,0141357045,,Penguin Random House Children's UK,300
The Prize,Julie Garwood,eBook,$17.14,$63.99,1101533471,,Penguin Publishing Group,1
Born Fearless,Phil Campion,eBook,,$12.99,0857384414,,Quercus,352
Alone in Berlin,Hans Fallada,eBook,,$15.99,0141908734,,Penguin Books Ltd,608
The Wicked King,Holly Black,eBook,,$18.99,0316310336,,"Little, Brown Books for Young Readers",336
Exit West,Mohsin Hamid,eBook,,$15.99,0241979072,,Penguin Books Ltd,240
Let's Explore Diabetes With Owls,David Sedaris,eBook,,$12.99,0748123059,,"Little, Brown Book Group",288
Night Watch,Terry Pratchett,eBook,,$15.99,1407035320,,Transworld,480
Safe Haven,Nicholas Sparks,eBook,,$11.99,0748122664,,"Little, Brown Book Group",320
The Autobiography of Saint Therese,John Beevers,eBook,$22.01,$17.99,0307778088,,Random House Publishing Group,
The Bhagavad Gita,Laurie L. Patton,eBook,,$14.99,0141396210,,Penguin Books Ltd,288
My Mother's Secret,J.L. Witterick,eBook,$23.99,$19.99,0698151526,,Penguin Publishing Group,208
The Language Instinct,Steven Pinker,eBook,,$66.99,0141929685,,Penguin Books Ltd,496
The Spy and the Traitor,Ben Macintyre,Hardcover,,,1101904194,,Crown Publishing Group (NY),368
Ancillary Sword,Ann Leckie,eBook,,$11.99,1405525851,,"Little, Brown Book Group",384
Harriet Tubman,Catherine Clinton,eBook,,$36.99,0759509778,,"Little, Brown and Company",300
The Art of Statistics,David Spiegelhalter,eBook,,$15.99,0241258758,,Penguin Books Ltd,256
Healing Back Pain,John E. Sarno,eBook,,$12.99,0759520844,,Grand Central Publishing,300
A Walk In The Park,Jill Mansell,eBook,,$12.99,0755355970,,Headline,362
Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,,$32.63,0768448883,,SOUND WISDOM,224
The Lollipop Shoes (Chocolat 2),Joanne Harris,eBook,,$10.99,1407039652,,Transworld,592
Liar Liar,M. J. Arlidge,eBook,,$15.99,1405919221,,Penguin Books Ltd,314
The Sleep Of Reason,C.P. Snow,eBook,,,0755118510,,,452
A Clockwork Orange,Anthony Burgess,eBook,,$15.99,0141908327,,Penguin Books Ltd,176
10 Minutes 38 Seconds in this Strange World,Elif Shafak,eBook,,$15.99,0241979455,,Penguin Books Ltd,368
Midnight at the Blackbird Cafe,Heather Webber,eBook,$19.50,$31.99,1250198607,,Tor Publishing Group,
The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,eBook,,$15.99,0753553171,,Ebury Publishing,304
Quick & Clever Watercolor Pencils,Charles Evans,eBook,,$30.90,0715335545,,DAVID & CHARLES,128
The Scottish Clearances,T. M. Devine,eBook,,$15.99,0141985941,,Penguin Books Ltd,400
Ask and It Is Given,Esther Hicks,eBook,$18.34,$14.99,1401919278,,Hay House,314
No One Is Too Small to Make a Difference,Greta Thunberg,eBook,,$8.99,0141991755,,Penguin Books Ltd,80
Gypsy,Lesley Pearse,eBook,,$15.99,014191033X,,Penguin Books Ltd,544
The Polyvagal Theory in Therapy,Deb Dana,eBook,$51.34,$41.99,0393712389,,W. W. Norton & Company,
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,eBook,,$19.99,0761148426,,Workman Publishing Company,203
Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,eBook,,$0.00,1310198373,,Talal Itani,
The Gutter Prayer,Gareth Hanrahan,eBook,,$12.99,0356511510,,"Little, Brown Book Group",544
Real Happiness,Sharon Salzberg,eBook,,,0761165592,,Workman Publishing Company,250
Astrology for the Soul,Jan Spiller,eBook,$25.70,$20.99,0307426750,,Random House Publishing Group,
The Closed Circle,Jonathan Coe,eBook,,$15.99,014190416X,,Penguin Books Ltd,448
